,template_key,date,position,a,b,c,d,weight
0,Template-1629,2019-12-06,Position P0,5.04080593311338,1.17884555030671,2.03190919431276,4.03331570451285,610.862871825912
1,Template-1629,2019-12-06,Position P1,5.06544652937854,1.15357457586741,2.0959076271512,4.07313367909755,739.060740276236
2,Template-1629,2019-12-06,Position P2,5.02514511428706,1.32019196570517,2.03361383922976,4.04145468953825,573.753796209821
3,Template-1629,2019-12-06,Position P3,5.01807512091331,1.27121312447898,2.03379437709677,4.03972761051172,588.131115373302
4,Template-1629,2019-12-06,Position P0,5.04479232270215,1.33928024555068,2.05863855683313,4.08907325483069,801.906659592091
5,Template-1629,2019-12-06,Position P1,5.08417305202587,1.13679731329524,2.02443367500041,4.06296303450237,1150.94285196799
6,Template-1629,2019-12-06,Position P2,5.08783626173039,1.2018320856643,2.06048908222105,4.05906495183656,887.224468151713
7,Template-1629,2019-12-06,Position P3,5.04811486687561,1.34741421992818,2.0542374625759,4.0743664640946,797.421666354846
8,Template-1629,2019-12-06,Position P0,5.0372043151061,1.19482181250495,1.99773248825777,4.00377552426481,480.641324536144
9,Template-1629,2019-12-06,Position P1,5.0339433345619,1.38025879304877,2.07578857292453,4.07120645678388,579.160635686557
10,Template-1629,2019-12-06,Position P2,5.01935875996216,1.39070556630895,2.03530857202595,4.07614584672234,601.08756782844
11,Template-1629,2019-12-06,Position P3,5.01750183764238,1.3071515901661,2.04548407956636,4.06481287598441,922.483099206467
12,Template-1629,2019-12-06,Position P0,5.07109519209905,1.31056595765934,1.99854540342173,4.05254180688887,973.437713001633
13,Template-1629,2019-12-06,Position P1,5.08032935181716,1.42075792217486,2.04755675964839,4.07292326583406,1110.94840351037
14,Template-1629,2019-12-06,Position P2,5.10935155808911,1.23400724809133,2.03441023783784,4.04927198825563,659.458803800952
15,Template-1629,2019-12-13,Position P0,5.00191576346042,1.277557980667,2.18808770645064,4.07920496856534,1064.01831640561
16,Template-1629,2019-12-13,Position P1,4.98619442987273,1.33731664480603,2.22288069788957,4.07661930292124,978.652612249081
17,Template-1629,2019-12-13,Position P2,5.00681011461358,1.19307870189556,2.20581285013972,4.07058059164435,1091.5793561771
18,Template-1629,2019-12-13,Position P3,4.99075610688612,1.33680063440045,2.19434846882958,4.06653175197752,1076.0654577797
19,Template-1629,2019-12-13,Position P0,5.00501904368514,1.29758269373895,2.30141159187702,4.07138494750258,963.668061410244
20,Template-1629,2019-12-13,Position P1,4.97325927251224,1.37696645891418,2.23184315635486,4.05456853296383,909.576140330422
21,Template-1629,2019-12-13,Position P2,4.99272789733547,1.30132548557268,2.32546280566835,4.08085664620168,908.042950849851
22,Template-1629,2019-12-13,Position P3,4.98809396242738,1.37684396720225,2.27920633773649,4.04703906837365,907.82089448276
23,Template-1629,2019-12-13,Position P0,4.98222158056014,1.50527666659505,2.21577250128081,4.05556198910853,735.904478568293
24,Template-1629,2019-12-13,Position P1,4.97908158780059,1.38335840847457,2.2244505096535,4.05981647784483,847.905929828398
25,Template-1629,2019-12-13,Position P2,4.99035757519626,1.2971562963445,2.22267818383844,4.06482924320196,768.129178780784
26,Template-1629,2019-12-13,Position P3,4.97197489391718,1.32968489660792,2.19590750022525,4.06699662887113,821.984911026349
27,Template-1629,2019-12-12,Position P0,5.23315638940898,1.40711256374173,2.26141990533301,4.29673429603766,1033.79529553525
28,Template-1629,2019-12-12,Position P1,5.24274859521543,1.34690810634519,2.19517540192975,4.30039360709961,881.092090980027
29,Template-1629,2019-12-12,Position P2,5.2411604149491,1.38604342392706,2.2021326293118,4.31902159293145,1341.12750494607
30,Template-1629,2019-12-12,Position P3,5.25357772156526,1.32344621723179,2.18933711379415,4.300926702907,1207.89171120996
31,Template-1629,2019-12-12,Position P0,5.18525024947912,1.36403319516071,2.21857156636066,4.29750724231103,862.738330465258
32,Template-1629,2019-12-12,Position P1,5.196939232728,1.29225904354924,2.22062646237521,4.29973999803821,746.270748939503
33,Template-1629,2019-12-12,Position P2,5.20568978860165,1.29348812242315,2.19086559578031,4.3069457903103,796.02395719139
34,Template-1629,2019-12-12,Position P3,5.18627848912574,1.23188133175526,2.1227202121458,4.28365481661854,853.260449589951
35,Template-1629,2019-12-12,Position P0,5.20700286555906,1.19865381468485,2.18276684534724,4.25397907347847,1728.70836201836
36,Template-1629,2019-12-12,Position P1,5.21493365575149,1.45407233519069,2.1927688751672,4.27243963546143,2207.67461499934
37,Template-1629,2019-12-12,Position P2,5.20364087577796,1.36088661370144,2.17272787573629,4.26089657957835,1521.57009381967
